hour,base_load_kw,pv_generation_kw,net_load_kw,battery_power_kw,battery_soc_kwh,grid_power_kw
0,2.5,0.0,2.5,0.0,5.0,2.5
1,2.2,0.0,2.2,0.0,5.0,2.2
2,2.0,0.0,2.0,0.0,5.0,2.0
3,1.8,0.0,1.8,-0.19999999999999996,5.0,2.0
4,1.7,0.0,1.7,-0.30000000000000004,5.2,2.0
5,2.0,0.0,2.0,0.0,5.5,2.0
6,3.5,0.5,3.0,0.0,5.5,3.0
7,5.0,1.5,3.5,0.0,5.5,3.5
8,6.5,3.0,3.5,0.0,5.5,3.5
9,5.5,4.5,1.0,-1.0,5.5,2.0
10,4.5,5.5,-1.0,-3.0,6.5,2.0
11,4.0,6.0,-2.0,-0.5,9.5,-1.5
12,4.2,6.2,-2.0,-0.0,10.0,-2.0
13,4.5,6.0,-1.5,-0.0,10.0,-1.5
14,4.3,5.5,-1.2000000000000002,-0.0,10.0,-1.2000000000000002
15,4.8,4.5,0.2999999999999998,-0.0,10.0,0.2999999999999998
16,6.0,3.0,3.0,0.0,10.0,3.0
17,8.5,1.5,7.0,1.0,10.0,6.0
18,9.0,0.5,8.5,2.5,9.0,6.0
19,8.0,0.0,8.0,2.0,6.5,6.0
20,6.5,0.0,6.5,0.5,4.5,6.0
21,5.0,0.0,5.0,0.0,4.0,5.0
22,4.0,0.0,4.0,0.0,4.0,4.0
23,3.0,0.0,3.0,0.0,4.0,3.0
